from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,1,460,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2250,2190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,461,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2310,2250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,462,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2370,2310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,463,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2430,2370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,464,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2490,2430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,465,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2550,2490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,466,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2610,2550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,467,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2670,2610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,468,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2730,2670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,469,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2790,2730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,470,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2850,2790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,471,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2910,2850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,472,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,2970,2910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,473,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3030,2970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,474,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3090,3030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,475,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3150,3090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,476,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3210,3150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,477,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3270,3210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,478,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3330,3270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,479,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3390,3330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,480,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3450,3390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,481,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3510,3450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,482,  1.00,  0.00, 61.00, 60.00,1220.00,3660.00, 20.00,60.00,0.00,0,3570,3510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,483,  1.00,  0.00, 60.00, 61.00,1200.00,3600.00, 20.33,60.00,0.00,0,3631,3570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,484,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3691,3631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,485,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3751,3691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,486,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3811,3751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,487,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3871,3811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,488,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3931,3871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,489,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,3991,3931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,490,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4051,3991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,491,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4111,4051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,492,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4171,4111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,493,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4231,4171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,494,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4291,4231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,495,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4351,4291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,496,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4411,4351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,497,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4471,4411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,498,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4531,4471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,499,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4591,4531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,500,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4651,4591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,501,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4711,4651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,502,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4771,4711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,503,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4831,4771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,504,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4891,4831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,505,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,4951,4891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,506,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5011,4951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,507,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5071,5011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,508,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5131,5071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,509,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5191,5131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,510,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5251,5191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,511,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5311,5251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,512,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5371,5311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,513,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5431,5371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,514,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5491,5431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,515,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5551,5491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,516,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5611,5551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,517,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5671,5611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,518,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5731,5671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,519,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,5791,5731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
