from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_mile_per_lane,speed_in_mph,queue_length_percentage,cumulative_arrival_count,cumulative_departure_count,time_dependent_left_arrival_count,time_dependent_left_departure_count,number_of_through_and_right_queued_vehicles,number_of_left_queued_vehicles,cumulative_SOV_revenue,cumulative_HOV_revenue,total_energy,total_CO2,total_NOX,total_CO,total_HC,energy_miles_per_gallon,CO2_per_mile,NOX_per_mile,CO_per_mile,HC_per_mile
1,5,1->5,1,35, 17.19,  0.05, 19.00, 17.00,380.00,1140.00,  0.00,34.89,0,701,4,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,36, 17.46,  0.32, 21.00, 22.00,420.00,1260.00,  0.00,34.37,-1610612736,720,3,6,2,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,37, 17.19,  0.05, 20.00, 16.00,400.00,1200.00,  0.00,34.90,0,741,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,38, 17.42,  0.28, 19.00, 24.00,380.00,1140.00,  0.00,34.44,-1610612736,761,4,7,4,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,39, 17.20,  0.06, 21.00, 17.00,420.00,1260.00,  0.00,34.88,0,780,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,40, 17.45,  0.31, 20.00, 24.00,400.00,1200.00,  0.00,34.38,-2147483648,801,3,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,41, 17.20,  0.06, 20.00, 16.00,400.00,1200.00,  0.00,34.89,0,821,4,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,42, 17.41,  0.27, 20.00, 24.00,400.00,1200.00,  0.00,34.46,-1610612736,841,3,7,4,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,43, 17.19,  0.05, 20.00, 17.00,400.00,1200.00,  0.00,34.90,0,861,3,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,44, 17.45,  0.30, 20.00, 23.00,400.00,1200.00,  0.00,34.39,-2147483648,881,4,6,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,45, 17.19,  0.04, 20.00, 16.00,400.00,1200.00,  0.00,34.91,0,901,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,46, 17.39,  0.24, 20.00, 24.00,400.00,1200.00,  0.00,34.51,-2147483648,921,4,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,47, 17.20,  0.06, 20.00, 17.00,400.00,1200.00,  0.00,34.88,0,941,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,48, 17.42,  0.28, 20.00, 23.00,400.00,1200.00,  0.00,34.44,-2147483648,961,3,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,49, 17.19,  0.05, 20.00, 17.00,400.00,1200.00,  0.00,34.90,0,981,4,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,50, 17.41,  0.27, 20.00, 23.00,400.00,1200.00,  0.00,34.46,-2147483648,1001,3,6,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,51, 17.19,  0.04, 20.00, 17.00,400.00,1200.00,  0.00,34.91,0,1021,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,52, 17.44,  0.30, 20.00, 23.00,400.00,1200.00,  0.00,34.41,-1610612736,1041,4,7,2,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,53, 17.20,  0.06, 20.00, 16.00,400.00,1200.00,  0.00,34.88,0,1061,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,54, 17.43,  0.29, 20.00, 24.00,400.00,1200.00,  0.00,34.42,-1610612736,1081,3,7,4,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,55, 17.19,  0.05, 20.00, 17.00,400.00,1200.00,  0.00,34.89,0,1101,4,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,56, 17.46,  0.32, 21.00, 23.00,420.00,1260.00,  0.00,34.36,-2147483648,1121,3,6,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,57, 17.19,  0.05, 19.00, 16.00,380.00,1140.00,  0.00,34.91,0,1142,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,58, 17.41,  0.26, 20.00, 24.00,400.00,1200.00,  0.00,34.47,-2147483648,1161,4,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,59, 17.20,  0.06, 19.00, 17.00,380.00,1140.00,  0.00,34.88,0,1181,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,60, 17.14,  0.00,  0.00, 24.00,  0.00,  0.00,  0.00,35.00,-2147483648,1200,3,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,61, 17.14,  0.00,  0.00, 16.00,  0.00,  0.00,  0.00,35.00,0,1200,4,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,62, 17.14,  0.00,  0.00, 24.00,  0.00,  0.00,  0.00,35.00,-2147483648,1200,3,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,63, 17.14,  0.00,  0.00, 17.00,  0.00,  0.00,  0.00,35.00,0,1200,3,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,64, 17.14,  0.00,  0.00, 22.00,  0.00,  0.00,  0.00,35.00,-2147483648,1200,4,6,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,65, 17.14,  0.00,  0.00, 17.00,  0.00,  0.00,  0.00,35.00,0,1200,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,66, 17.14,  0.00,  0.00, 24.00,  0.00,  0.00,  0.00,35.00,-2147483648,1200,4,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,67, 17.14,  0.00,  0.00, 17.00,  0.00,  0.00,  0.00,35.00,0,1200,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,68, 17.14,  0.00,  0.00, 23.00,  0.00,  0.00,  0.00,35.00,-1610612736,1200,3,7,2,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,69, 17.14,  0.00,  0.00, 16.00,  0.00,  0.00,  0.00,35.00,0,1200,4,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,70, 17.14,  0.00,  0.00, 23.00,  0.00,  0.00,  0.00,35.00,-1610612736,1200,3,6,4,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,71, 17.14,  0.00,  0.00, 17.00,  0.00,  0.00,  0.00,35.00,0,1200,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,72, 17.14,  0.00,  0.00, 24.00,  0.00,  0.00,  0.00,35.00,-2147483648,1200,4,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,73, 17.14,  0.00,  0.00, 16.00,  0.00,  0.00,  0.00,35.00,0,1200,3,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,74, 17.14,  0.00,  0.00, 24.00,  0.00,  0.00,  0.00,35.00,-2147483648,1200,3,7,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,75, 17.14,  0.00,  0.00, 17.00,  0.00,  0.00,  0.00,35.00,0,1200,4,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,76, 17.14,  0.00,  0.00, 22.00,  0.00,  0.00,  0.00,35.00,-2147483648,1200,3,6,3,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,77, 17.14,  0.00,  0.00,  3.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,1,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,78, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,1,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,79, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,80, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,81, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,82, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,83, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,84, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,85, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,86, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,87, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,5,1->5,1,88, 17.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,35.00,0,1200,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
