from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,1,477,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3426,3361,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,478,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3486,3421,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,479,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3546,3481,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,480,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3606,3541,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,481,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3666,3601,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,482,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3726,3661,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,483,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3786,3721,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,484,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3846,3781,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,485,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3906,3841,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,486,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,3966,3901,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,487,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4026,3961,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,488,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4086,4021,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,489,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,4146,4081,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
